id,example,Label
325,"Premise: Raúl Alberto Osella (born 8 June 1984 in Morteros) is an Argentine association footballer who currently plays for FC Locarno in Swiss Challenge League. He played FIFA U-17 World Cup Final for Argentina national team 2001. He played for Boca Juniors and Tiro Federal in Argentina.
Hypothesis: The FIFA U-17 World Cup Final in 2001 was contested between two European sides",contradiction
318,"Premise: Christmas bread<br>My grandmother said she was going to make bread for Christmas. We were confused as to how that was going to work. She showed up with a beautiful bread that looked like Santa. She explained to us how she made it. We wanted to help her next time.
Hypothesis: There is no bread.",contradiction
126,"Premise: Unternehmen Herbstnebel (""Operation Autumn Mist"") was an offensive planned by German Field Marshal Walter Model and his Army Group B operational staff in late 1944 during World War II. It envisaged a German Army attack targeting the Allied forces in eastern Belgium and Luxembourg, east of the Meuse River.
Hypothesis: Unternehmen Herbstnebel is still in operation today.",contradiction
399,"Premise: The Kyrkogården Runestones are three Viking Age memorial runestones located at the cemetery of St. Mary's Church in Sigtuna, Stockholm County, Sweden, in the historic province of Uppland. One of the runic inscriptions documents the existence of a Viking Age mercantile guild in Sweden.
Hypothesis: The Kyrkogården Runestones are Incan monument",contradiction
180,"Premise: University Centre Weston, also known as UCW, is a university centre based in the town of Weston-super-Mare, Somerset, England. The centre was formed by Weston College in 2016 following the college's announcement of university centre status with UWE Bristol and Bath Spa University in November 2015.
Hypothesis: UCW's formation was announced in 2015.",entailment
30,"Premise: How to catch a crappie<br>Look in lakes, rivers and streams with clear water. Crappie are freshwater fish that are abundant in the wild and stocked in many ponds and lakes in the united states and canada. They're originally from north america, but they can be found in many countries across the world at this point.
Hypothesis: Crappie are a type of fish.",entailment
392,"Premise: How to recover from a vasectomy<br>Expect mild swelling and pain. After surgery, you will probably have some pain and swelling in your scrotum. You may also notice some fluid leaking from the incision site after surgery.
Hypothesis: surgery contains a y",entailment
414,"Premise: The Puerto Rico Baseball Academy and High School (PRBAHS) is a non-profit organization combining academics and sports programs into one curriculum. Its goal is to prepare its students for higher education, competitive college scholarship opportunities, and the Major League Baseball Draft. The PRBAHS is the only high school in Puerto Rico or the United States with this type of learning environment.
Hypothesis: PRBAHS caters to kids in high school.",entailment
154,"Premise: Gelston is a village in the South Kesteven district of Lincolnshire, England. It is situated 2 mi west from the A607 road, 5 mi north from Grantham, and in the civil parish of Hough-on-the-Hill, a village 1 mi to the north-east. It is in the civil parish of Brant Broughton and Stragglethorpe.
Hypothesis: Gelston is 2 miles from A607",entailment
153,"Premise: Forecasters are saying today should be the hottest of the week, with a high that could hit 101 degrees. Winds should be calm throughout the morning but this afternoon a 5 to 8 mph breeze should develop out of the south-southeast. Overnight lows should be in the mid-60s. The National Weather Service is predicting the high temperature will step back to about 97 degrees. For the rest of the week, the highs are expected to linger in the 90s under clear skies, and the lows are supposed to stay in the 60s. For additional weather information visit www.chicoer.com/weather.
Hypothesis: The daytime weather this week will be hot.",entailment
70,"Premise: How to prevent a dog from defecating in its crate<br>Make sure the crate is the right size. Oftentimes, dogs will defecate in their crate if it's too big. If the crate is large enough that your dog can comfortably poop in a corner he might choose to go in his crate rather than wait to be let out.
Hypothesis: You don't want your dog to be able to comfortably poop in its crate",entailment
334,"Premise: At the very outskirts of commerce, Baka pygmies in southeastern Cameroon use a cyanide compound to stun bees while raiding their nests for honey.
Hypothesis: The Baka pygmies collected honey from bee nests. ",entailment
39,"Premise: Jason Ian Drucker (born  2005 ) is an American child actor. He starred as Greg Heffley in the 2017 film """". He also played Tommy Miller, the youngest of the Miller Family, in Nickelodeon's ""Every Witch Way"". In 2018, he will co-star in the ""Transformers"" spin-off ""Bumblebee"".
Hypothesis: By the end of 2018 Jason Ian Drucker was 13 years old.",entailment
173,"Premise: S.S.C. Napoli won its first national championship with recently crowned World Champion Diego Maradona as the most influential player. Central defender Ciro Ferrara got his breakthrough, helping out the team to win the trophy. The two new signings Andrea Carnevale and Fernando De Napoli also proved crucial in the title-winning campaign, which sparked off fanatical celebrations in Naples.
Hypothesis: Diego Maradona was not newly signed.",entailment
